MonthYear,Month,Year,Role,Source,Stage,Candidates
3/2016,3,2016,Sales,Referral,"All Applicants",2
3/2016,3,2016,Sales,Referral,"Phone Screen",2
3/2016,3,2016,Sales,Referral,Onsite,2
3/2016,3,2016,Sales,Referral,"Final Onsite",0
3/2016,3,2016,Sales,Referral,Offer,0
3/2016,3,2016,Sales,Referral,Accept,0
3/2016,3,2016,Sales,Referral,Decline,0
3/2016,3,2016,Sales,"Angel List","All Applicants",13
3/2016,3,2016,Sales,"Angel List","Phone Screen",2
3/2016,3,2016,Sales,"Angel List",Onsite,0
3/2016,3,2016,Sales,"Angel List","Final Onsite",0
3/2016,3,2016,Sales,"Angel List",Offer,0
3/2016,3,2016,Sales,"Angel List",Accept,0
3/2016,3,2016,Sales,"Angel List",Decline,0
3/2016,3,2016,Sales,"Career Site","All Applicants",52
3/2016,3,2016,Sales,"Career Site","Phone Screen",6
3/2016,3,2016,Sales,"Career Site",Onsite,3
3/2016,3,2016,Sales,"Career Site","Final Onsite",1
3/2016,3,2016,Sales,"Career Site",Offer,1
3/2016,3,2016,Sales,"Career Site",Accept,1
3/2016,3,2016,Sales,"Career Site",Decline,0
3/2016,3,2016,Sales,Outreach,"All Applicants",0
3/2016,3,2016,Sales,Outreach,"Phone Screen",0
3/2016,3,2016,Sales,Outreach,Onsite,0
3/2016,3,2016,Sales,Outreach,"Final Onsite",0
3/2016,3,2016,Sales,Outreach,Offer,0
3/2016,3,2016,Sales,Outreach,Accept,0
3/2016,3,2016,Sales,Outreach,Decline,0
3/2016,3,2016,Sales,Hired,"All Applicants",2
3/2016,3,2016,Sales,Hired,"Phone Screen",2
3/2016,3,2016,Sales,Hired,Onsite,1
3/2016,3,2016,Sales,Hired,"Final Onsite",0
3/2016,3,2016,Sales,Hired,Offer,0
3/2016,3,2016,Sales,Hired,Accept,0
3/2016,3,2016,Sales,Hired,Decline,0
3/2016,3,2016,Sales,Gogohire,"All Applicants",4
3/2016,3,2016,Sales,Gogohire,"Phone Screen",4
3/2016,3,2016,Sales,Gogohire,Onsite,2
3/2016,3,2016,Sales,Gogohire,"Final Onsite",0
3/2016,3,2016,Sales,Gogohire,Offer,0
3/2016,3,2016,Sales,Gogohire,Accept,0
3/2016,3,2016,Sales,Gogohire,Decline,0
3/2016,3,2016,Sales,HireUp,"All Applicants",0
3/2016,3,2016,Sales,HireUp,"Phone Screen",0
3/2016,3,2016,Sales,HireUp,Onsite,0
3/2016,3,2016,Sales,HireUp,"Final Onsite",0
3/2016,3,2016,Sales,HireUp,Offer,0
3/2016,3,2016,Sales,HireUp,Accept,0
3/2016,3,2016,Sales,HireUp,Decline,0
3/2016,3,2016,Sales,Conferences,"All Applicants",0
3/2016,3,2016,Sales,Conferences,"Phone Screen",0
